emoji,description_en,description_es,description_pt
♑,Capricorn,Capricornio,Capricórnio
🇧🇶,Caribbean Netherlands,Países Bajos del Caribe,Holanda do Caribe
🇰🇾,Cayman Islands,Islas Caimán,Ilhas Cayman
🇨🇫,Central African Republic,República Centroafricana,República da África Central
🇪🇦,Ceuta & Melilla,Ceuta y Melilla,Ceuta & Melilla
🇹🇩,Chad,Chad,Chade
🇨🇱,Chile,Chile,Chile
🇨🇳,China,Porcelana,China
🇨🇽,Christmas Island,Isla de Navidad,Ilha Natal
🎄,Christmas tree,árbol de Navidad,árvore de Natal
🇨🇵,Clipperton Island,Isla Clipperton,Ilha de Clipperton
🇨🇨,Cocos (Keeling) Islands,Islas Cocos (Keeling),Ilhas Cocos (Keeling)
🇨🇴,Colombia,Colombia,Colômbia
🇰🇲,Comoros,Comoras,Comores
🇨🇬,Congo-Brazzaville,Congo-Brazzaville,Congo-Brazzaville
🇨🇩,Congo-Kinshasa,Congo-quinshasa,Congo-Kinshasa
🇨🇰,Cook Islands,Islas Cook,Ilhas cozinheiras
🇨🇷,Costa Rica,Costa Rica,Costa Rica
🇭🇷,Croatia,Croacia,Croácia
🇨🇺,Cuba,Cuba,Cuba
🇨🇼,Curaçao,Curaçao,Curaçao
🇨🇾,Cyprus,Chipre,Chipre
🇨🇿,Czechia,Chequia,Tchechia
🇨🇮,Côte d’Ivoire,Costa de Marfil,Costa do Marfim
🇩🇰,Denmark,Dinamarca,Dinamarca
🇩🇬,Diego Garcia,Diego García,Diego Garcia
🇩🇯,Djibouti,Djibouti,Djibuti
🇩🇲,Dominica,Dominio,Dominica
🇩🇴,Dominican Republic,República Dominicana,República Dominicana
🔚,END arrow,Flecha final,Flecha final
🇪🇨,Ecuador,Ecuador,Equador
🇪🇬,Egypt,Egipto,Egito
🇸🇻,El Salvador,El Salvador,El Salvador
🏴󠁧󠁢󠁥󠁮󠁧󠁿,England,Inglaterra,Inglaterra
🇬🇶,Equatorial Guinea,Guinea Ecuatorial,Guiné Equatorial
🇪🇷,Eritrea,Eritrea,Eritreia
🇪🇪,Estonia,Estonia,Estônia
🇸🇿,Eswatini,Eswatini,Eswatini
🇪🇹,Ethiopia,Etiopía,Etiópia
🇪🇺,European Union,unión Europea,União Europeia
🆓,FREE button,Botón libre,Botão grátis
🇫🇰,Falkland Islands,Islas Malvinas,Ilhas das Malvinas
🇫🇴,Faroe Islands,Islas Feroe,Ilhas Faroe
🇫🇯,Fiji,Fiji,Fiji
🇫🇮,Finland,Finlandia,Finlândia
🇫🇷,France,Francia,França
🇬🇫,French Guiana,Guayana Francesa,Guiana francesa
🇵🇫,French Polynesia,Polinesia francesa,Polinésia francesa
🇹🇫,French Southern Territories,Territorios del sur francés,Territórios do Sul da França
🇬🇦,Gabon,Gabón,Gabão
🇬🇲,Gambia,Gambia,Gâmbia
♊,Gemini,Géminis,Gêmeos
🇬🇪,Georgia,Georgia,Geórgia
🇩🇪,Germany,Alemania,Alemanha
🇬🇭,Ghana,Ghana,Gana
🇬🇮,Gibraltar,Gibraltar,Gibraltar
🇬🇷,Greece,Grecia,Grécia
🇬🇱,Greenland,Tierra Verde,Groenlândia
🇬🇩,Grenada,Granada,Granada
🇬🇵,Guadeloupe,Guadeloupo,Guadalupe
🇬🇺,Guam,Guam,Guam
🇬🇹,Guatemala,Guatemala,Guatemala
🇬🇬,Guernsey,Guía,Guernsey
🇬🇳,Guinea,Guinea,Guiné
🇬🇼,Guinea-Bissau,Guinea-Bissau,Guiné-bissau
🇬🇾,Guyana,Guayana,Guiana
🇭🇹,Haiti,Haití,Haiti
🇭🇲,Heard & McDonald Islands,Heard & McDonald Islands,Ilhas Heard & McDonald
🇭🇳,Honduras,Honduras,Honduras
🇭🇰,Hong Kong SAR China,Hong Kong Sar China,Hong Kong Sar China
🇭🇺,Hungary,Hungría,Hungria
🆔,ID button,Botón de identificación,Botão de identificação
🇮🇸,Iceland,Islandia,Islândia
🇮🇳,India,India,Índia
🇮🇩,Indonesia,Indonesia,Indonésia
🇮🇷,Iran,Irán,Irã
🇮🇶,Iraq,Irak,Iraque
🇮🇪,Ireland,Irlanda,Irlanda
🇮🇲,Isle of Man,Isla del hombre,Ilha de Homem
🇮🇱,Israel,Israel,Israel
🇮🇹,Italy,Italia,Itália
🇯🇲,Jamaica,Jamaica,Jamaica
🇯🇵,Japan,Japón,Japão
🉑,Japanese acceptable button,Botón aceptable japonés,Botão aceitável japonês
🈸,Japanese application button,Botón de aplicación japonés,Botão de aplicativo japonês
🉐,Japanese bargain button,Botón de ganga japonesa,Botão japonês de barganha
🏯,Japanese castle,Castillo japonés,Castelo japonês
㊗️,Japanese congratulations button,Botón de felicitaciones japonesas,Botão Japonês Parabéns
㊗,Japanese congratulations button,Botón de felicitaciones japonesas,Botão Japonês Parabéns
🈹,Japanese discount button,Botón de descuento japonés,Botão de desconto japonês
🎎,Japanese dolls,Muñecas japonesas,Bonecas japonesas
🈚,Japanese free of charge button,Botón Japonés sin cargo,Botão japonês gratuito
🈁,Japanese here button,Botón japonés aquí,Botão japonês aqui
🈷️,Japanese monthly amount button,Botón de cantidad mensual japonesa,Botão de valor mensal japonês
🈷,Japanese monthly amount button,Botón de cantidad mensual japonesa,Botão de valor mensal japonês
🈵,Japanese no vacancy button,Botón japonés sin vacante,Botão Japonês Sem Vacação
🈶,Japanese not free of charge button,Japonés no es un botón gratuito,Japonês não é gratuito botão de carga
🈺,Japanese open for business button,Japonés abierto para el botón de negocios,Japonês aberto para o botão de negócios
🈴,Japanese passing grade button,Botón de grado de paso japonés,Botão Japonês de Passagem
🏣,Japanese post office,Oficina de correos japonesa,Correios japoneses
🈲,Japanese prohibited button,Botón japonés prohibido,Botão japonês proibido
🈯,Japanese reserved button,Botón reservado japonés,Botão japonês reservado
㊙️,Japanese secret button,Botón secreto japonés,Botão secreto japonês
㊙,Japanese secret button,Botón secreto japonés,Botão secreto japonês
🈂️,Japanese service charge button,Botón de cargo por servicio japonés,Botão de carga de serviço japonês
🈂,Japanese service charge button,Botón de cargo por servicio japonés,Botão de carga de serviço japonês
🔰,Japanese symbol for beginner,Símbolo japonés para principiante,Símbolo japonês para iniciantes
🈳,Japanese vacancy button,Botón de vacante japonés,Botão de vacância japonesa
🇯🇪,Jersey,Jersey,Jersey
🇯🇴,Jordan,Jordán,Jordânia
🇰🇿,Kazakhstan,Kazajstán,Cazaquistão
🇰🇪,Kenya,Kenia,Quênia
🇰🇮,Kiribati,Kiribati,Kiribati
🇽🇰,Kosovo,Kosovo,Kosovo
🇰🇼,Kuwait,Kuwait,Kuwait
🇰🇬,Kyrgyzstan,Kirguistán,Quirguistão
🇱🇦,Laos,Laos,Laos
🇱🇻,Latvia,Letonia,Letônia
🇱🇧,Lebanon,Líbano,Líbano
♌,Leo,León,Leo
🇱🇸,Lesotho,Lesoto,Lesoto
🇱🇷,Liberia,Liberia,Libéria
♎,Libra,Libra,Libra
🇱🇾,Libya,Libia,Líbia
🇱🇮,Liechtenstein,Liechtenstein,Liechtenstein
🇱🇹,Lithuania,Lituania,Lituânia
🇱🇺,Luxembourg,Luxemburgo,Luxemburgo
🇲🇴,Macao SAR China,Macao SAR China,Macau Sar China
🇲🇬,Madagascar,Madagascar,Madagáscar
🇲🇼,Malawi,Malawi,Malawi
🇲🇾,Malaysia,Malasia,Malásia
🇲🇻,Maldives,Maldivas,Maldivas
🇲🇱,Mali,Malí,Mali
🇲🇹,Malta,Malta,Malta
🇲🇭,Marshall Islands,Islas Marshall,Ilhas Marshall
🇲🇶,Martinique,Martinica,Martinica
🇲🇷,Mauritania,Mauritania,Mauritânia
🇲🇺,Mauritius,Mauricio,Maurício
🇾🇹,Mayotte,Mayotte,Mayotte
🇲🇽,Mexico,México,México
🇫🇲,Micronesia,Micronesia,Micronésia
🇲🇩,Moldova,Moldava,Moldávia
🇲🇨,Monaco,Mónaco,Mônaco
🇲🇳,Mongolia,Mongolia,Mongólia
🇲🇪,Montenegro,Montenegro,Montenegro
🇲🇸,Montserrat,Montserrat,Montserrat
🇲🇦,Morocco,Marruecos,Marrocos
🇲🇿,Mozambique,Mozambique,Moçambique
🤶,Mrs. Claus,Sra. Claus,Sra. Claus
🤶🏿,Mrs. Claus dark skin tone,Sra. Claus Tono de piel oscura,Sra. Claus Tom de pele escura
🤶🏻,Mrs. Claus light skin tone,Sra. Claus Light Skin Tone,Sra. Claus Tom de pele leve
🤶🏾,Mrs. Claus medium-dark skin tone,Sra. Claus Tono de piel medio-oscuridad,Sra. Claus Tom de pele média-escuro
🤶🏼,Mrs. Claus medium-light skin tone,Sra. Claus tono de piel de luz media,Sra. Claus Tom de pele de luz média
🤶🏽,Mrs. Claus medium skin tone,Sra. Claus tono de piel mediana,Sra. Claus Tom de pele média
🧑‍🎄,Mx Claus,Mx Claus,Mx Claus
🧑🏿‍🎄,Mx Claus dark skin tone,Tono de piel oscura mx Claus,MX Claus Tom de pele escura
🧑🏻‍🎄,Mx Claus light skin tone,Tono de piel claro mx Claus,Tom de pele leve mx claus
🧑🏾‍🎄,Mx Claus medium-dark skin tone,MX CLAUS Medium-Dark Skin Tono,Tom de pele MX Claus Medium-escuro
🧑🏼‍🎄,Mx Claus medium-light skin tone,MX CLAUS Tono de piel de luz media,Tom de pele de luz média MX Claus
🧑🏽‍🎄,Mx Claus medium skin tone,Tono de piel mediana mx Claus,Tom de pele média claus mx
🇲🇲,Myanmar (Burma),Myanmar (Birmania),Mianmar (Birmânia)
🆕,NEW button,Nuevo botón,Novo botão
🆖,NG button,Botón ng,Botão ng
🇳🇦,Namibia,Namibia,Namíbia
🇳🇷,Nauru,Nauru,Nauru
🇳🇵,Nepal,Nepal,Nepal
🇳🇱,Netherlands,Países Bajos,Holanda
🇳🇨,New Caledonia,Nueva Caledonia,Nova Caledônia
🇳🇿,New Zealand,Nueva Zelanda,Nova Zelândia
🇳🇮,Nicaragua,Nicaragua,Nicarágua
🇳🇪,Niger,Níger,Níger
🇳🇬,Nigeria,Nigeria,Nigéria
🇳🇺,Niue,Niue,Niue
🇳🇫,Norfolk Island,Isla Norfolk,Ilha de Norfolk
🇰🇵,North Korea,Corea del Norte,Coréia do Norte
🇲🇰,North Macedonia,Macedonia del Norte,Macedônia do Norte
🇲🇵,Northern Mariana Islands,Islas Marianas del Norte,Ilhas do norte da Mariana
🇳🇴,Norway,Noruega,Noruega
🆗,OK button,Botón OK,Botão OK
👌,OK hand,Ok mano,OK mão
👌🏿,OK hand dark skin tone,Ok Hand Dark Skin Tone,Ok Hand Skin Tom
👌🏻,OK hand light skin tone,Ok tono de piel de luz manual,Ok Tom de pele leve à mão
👌🏾,OK hand medium-dark skin tone,Ok tono de piel medio-oscuridad de la mano,"Ok, mão, tom de pele média-escuro"
👌🏼,OK hand medium-light skin tone,Ok tono de piel de luz media manual,Ok tom de pele de luz média de mão
👌🏽,OK hand medium skin tone,Ok tono de piel mediana de mano,Ok Hand Medium Skin Tom
🔛,ON! arrow,¡EN! flecha,SOBRE! seta
🅾️,O button (blood type),O botón (tipo de sangre),O botão (tipo sanguíneo)
🅾,O button (blood type),O botón (tipo de sangre),O botão (tipo sanguíneo)
🇴🇲,Oman,Omán,Omã
⛎,Ophiuchus,Ofiuco,Ophiuchus
🅿️,P button,Potón P,Botão p
🅿,P button,Potón P,Botão p
🇵🇰,Pakistan,Pakistán,Paquistão
🇵🇼,Palau,Palau,Palau
🇵🇸,Palestinian Territories,Territorios palestinos,Territórios palestinos
🇵🇦,Panama,Panamá,Panamá
🇵🇬,Papua New Guinea,Papúa Nueva Guinea,Papua Nova Guiné
🇵🇾,Paraguay,Paraguay,Paraguai
🇵🇪,Peru,Perú,Peru
🇵🇭,Philippines,Filipinas,Filipinas
♓,Pisces,Piscis,Peixes
🇵🇳,Pitcairn Islands,Islas Pitcairn,Ilhas Pitcairn
🇵🇱,Poland,Polonia,Polônia
🇵🇹,Portugal,Portugal,Portugal
🇵🇷,Puerto Rico,Puerto Rico,Porto Rico
🇶🇦,Qatar,Katar,Catar
🇷🇴,Romania,Rumania,Romênia
🇷🇺,Russia,Rusia,Rússia
🇷🇼,Rwanda,Ruanda,Ruanda
🇷🇪,Réunion,Reunión,Reunião
🔜,SOON arrow,Pronto Arrow,Logo seta
🆘,SOS button,Botón SOS,Botão SOS
♐,Sagittarius,Sagitario,Sagitário
🇼🇸,Samoa,Samoa,Samoa
🇸🇲,San Marino,San Marino,San Marino
🎅,Santa Claus,Papá Noel,Papai Noel
🎅🏿,Santa Claus dark skin tone,Tono de piel oscura de Santa Claus,Tom de pele escura do Papai Noel
🎅🏻,Santa Claus light skin tone,Tono de piel clara de Santa Claus,Tom de pele leve do Papai Noel
🎅🏾,Santa Claus medium-dark skin tone,Tono de piel de Santa Claus Medium-Dark,Tom de pele de médio escuro de Papai Noel
🎅🏼,Santa Claus medium-light skin tone,Tono de piel de luz media de Santa Claus,Tom de pele de luz média do Papai Noel
🎅🏽,Santa Claus medium skin tone,Tono de piel mediana de Santa Claus,Tom de pele média do Papai Noel
🇨🇶,Sark,Sark,Sark
🇸🇦,Saudi Arabia,Arabia Saudita,Arábia Saudita
♏,Scorpio,Escorpión,Escorpião
🏴󠁧󠁢󠁳󠁣󠁴󠁿,Scotland,Escocia,Escócia
🇸🇳,Senegal,Senegal,Senegal
🇷🇸,Serbia,Serbia,Sérvia
🇸🇨,Seychelles,Seychelles,Seychelles
🇸🇱,Sierra Leone,Sierra Leona,Serra Leoa
🇸🇬,Singapore,Singapur,Cingapura
🇸🇽,Sint Maarten,Sint Maarten,Sint Maarten
🇸🇰,Slovakia,Eslovaquia,Eslováquia
🇸🇮,Slovenia,Eslovenia,Eslovênia
🇸🇧,Solomon Islands,Islas Salomón,Ilhas Salomão
🇸🇴,Somalia,Somalia,Somália
🇿🇦,South Africa,Sudáfrica,África do Sul
🇬🇸,South Georgia & South Sandwich Islands,South Georgia e Islas Sandwich South,Ilhas do Sul da Geórgia e Sul Sandwich
🇰🇷,South Korea,Corea del Sur,Coréia do Sul
🇸🇸,South Sudan,Sudán del Sur,Sudão do Sul
🇪🇸,Spain,España,Espanha
🇱🇰,Sri Lanka,Sri Lanka,Sri Lanka
🇧🇱,St. Barthélemy,San Barthélemy,São Barthélemy
🇸🇭,St. Helena,Santa Helena,Santa Helena
🇰🇳,St. Kitts & Nevis,San Kitts y Nevis,St. Kitts & Nevis
🇱🇨,St. Lucia,Santa Lucía,St. Lucia
🇲🇫,St. Martin,San Martín,St. Martin
🇵🇲,St. Pierre & Miquelon,St. Pierre y Miquelon,St. Pierre & Miquelon
🇻🇨,St. Vincent & Grenadines,San Vicente y Granadines,São Vicente e Granadinas
🗽,Statue of Liberty,Estatua de la libertad,Estátua da liberdade
🇸🇩,Sudan,Sudán,Sudão
🇸🇷,Suriname,Surinam,Suriname
🇸🇯,Svalbard & Jan Mayen,Svalbard y Jan Mayen,Svalbard e Jan Mayen
🇸🇪,Sweden,Suecia,Suécia
🇨🇭,Switzerland,Suiza,Suíça
🇸🇾,Syria,Siria,Síria
🇸🇹,São Tomé & Príncipe,São Tomé y Príncipe,São Tomé e Príncipe
🦖,T-Rex,T-rex,T-Rex
🔝,TOP arrow,Flecha superior,Arqueiro superior
🇹🇼,Taiwan,Taiwán,Taiwan
🇹🇯,Tajikistan,Tayikistán,Tajiquistão
🇹🇿,Tanzania,Tanzania,Tanzânia
♉,Taurus,Tauro,Touro
🇹🇭,Thailand,Tailandia,Tailândia
🇹🇱,Timor-Leste,Timor-Leste,Timor-Leste
🇹🇬,Togo,Ir,Ir
🇹🇰,Tokelau,Tokelau,Tokelau
🗼,Tokyo tower,Torre de Tokio,Torre de Tóquio
🇹🇴,Tonga,Tonga,Tonga
🇹🇹,Trinidad & Tobago,Trinidad y Tobago,Trinidad e Tobago
🇹🇦,Tristan da Cunha,Tristan da cunha,Tristan da Cunha
🇹🇳,Tunisia,Túnez,Tunísia
🇹🇲,Turkmenistan,Turkmenistán,Turquemenistão
🇹🇨,Turks & Caicos Islands,Islas Turcas y Caicos,Ilhas Turks e Caicos
🇹🇻,Tuvalu,Tuvalu,Tuvalu
🇹🇷,Türkiye,Türkiye,Türkiye
🇺🇲,U.S. Outlying Islands,Islas periféricas de EE. UU.,Ilhas periféricas dos EUA
🇻🇮,U.S. Virgin Islands,Islas Vírgenes de EE. UU.,Ilhas Virgens dos EUA
🆙,UP! button,¡ARRIBA! botón,ACIMA! botão
🇺🇬,Uganda,Uganda,Uganda
🇺🇦,Ukraine,Ucrania,Ucrânia
🇦🇪,United Arab Emirates,Emiratos Árabes Unidos,Emirados Árabes Unidos
🇬🇧,United Kingdom,Reino Unido,Reino Unido
🇺🇳,United Nations,Naciones Unidas,Nações Unidas
🇺🇸,United States,Estados Unidos,Estados Unidos
🇺🇾,Uruguay,Uruguay,Uruguai
🇺🇿,Uzbekistan,Uzbekistán,Uzbequistão
🆚,VS button,VS BOTÓN,Vs botão
🇻🇺,Vanuatu,Vanuatu,Vanuatu
🇻🇦,Vatican City,Ciudad del Vaticano,Cidade do Vaticano
🇻🇪,Venezuela,Venezuela,Venezuela
🇻🇳,Vietnam,Vietnam,Vietnã
♍,Virgo,Virgo,Virgem
🏴󠁧󠁢󠁷󠁬󠁳󠁿,Wales,Gales,Gales
🇼🇫,Wallis & Futuna,Wallis y Futuna,Wallis & Futuna
🇪🇭,Western Sahara,Sahara occidental,Saara Ocidental
🇾🇪,Yemen,Yemen,Iémen
💤,ZZZ,Zzz,Zzz
🇿🇲,Zambia,Zambia,Zâmbia
🇿🇼,Zimbabwe,Zimbabue,Zimbábue
🧮,abacus,ábaco,ábaco
🪗,accordion,acordeón,acordeão
🩹,adhesive bandage,tirita,bandagem adesiva
🎟️,admission tickets,boletos de admisión,Bilhetes de admissão
🎟,admission tickets,boletos de admisión,Bilhetes de admissão
🚡,aerial tramway,tranvía aéreo,Tramway aéreo
✈️,airplane,avión,avião
✈,airplane,avión,avião
🛬,airplane arrival,llegada de avión,Chegada de avião
🛫,airplane departure,partida de avión,partida do avião
⏰,alarm clock,despertador,despertador
⚗️,alembic,alambique,alambique
⚗,alembic,alambique,alambique
👽,alien,extranjero,estrangeiro
👾,alien monster,monstruo alienígena,Monstro Alien
🚑,ambulance,ambulancia,ambulância
🏈,american football,fútbol americano,futebol americano
🏺,amphora,ánfora,Anfora
🫀,anatomical heart,corazón anatómico,coração anatômico
⚓,anchor,ancla,âncora
💢,anger symbol,símbolo de ira,símbolo de raiva
😠,angry face,cara enojada,rosto zangado
👿,angry face with horns,cara enojada con cuernos,rosto zangado com chifres
😧,anguished face,cara angustiada,rosto angustiado
🐜,ant,hormiga,formiga
📶,antenna bars,barras de antena,Barras de antena
😰,anxious face with sweat,cara ansiosa con sudor,rosto ansioso de suor
🚛,articulated lorry,camión articulado,caminhada articulada
🧑‍🎨,artist,artista,artista
🧑🏿‍🎨,artist dark skin tone,artista tono de piel oscura,Artista Dark Skin Tom
🧑🏻‍🎨,artist light skin tone,Tono de piel clara del artista,Tom de pele leve do artista
🧑🏾‍🎨,artist medium-dark skin tone,artista tono de piel mediano-oscuridad,Tom de pele do artista médio escuro
🧑🏼‍🎨,artist medium-light skin tone,artista tono de piel de luz media,Tom de pele de luz média de artista
🧑🏽‍🎨,artist medium skin tone,Tono de piel mediana artista,Tom de pele média do artista
🎨,artist palette,paleta de artistas,paleta de artistas
😲,astonished face,cara asombrada,rosto surpreso
🧑‍🚀,astronaut,astronauta,astronauta
🧑🏿‍🚀,astronaut dark skin tone,Astronaut tono de piel oscura,Astronauta Tom da pele escura
🧑🏻‍🚀,astronaut light skin tone,tono de piel clara de astronauta,tom de pele de astronauta
🧑🏾‍🚀,astronaut medium-dark skin tone,tono de piel de astronauta medio-oscuridad,Tom de pele de astronauta-escuro
🧑🏼‍🚀,astronaut medium-light skin tone,tono de piel de la luz media astronauta,Tom de pele de luz média de astronauta
🧑🏽‍🚀,astronaut medium skin tone,tono de piel mediana astronauta,tom de pele média de astronauta
⚛️,atom symbol,símbolo de átomo,símbolo do átomo
⚛,atom symbol,símbolo de átomo,símbolo do átomo
🛺,auto rickshaw,rickshaw,Auto Rickshaw
🚗,automobile,automóvil,automóvel
🥑,avocado,palta,abacate
🪓,axe,hacha,machado
👶,baby,bebé,bebê
👼,baby angel,ángel bebé,Baby Angel
👼🏿,baby angel dark skin tone,Baby Angel Tono de piel oscura,Baby Angel Dark Skin Tom
👼🏻,baby angel light skin tone,tono de piel de luz de ángel bebé,tom de pele leve de anjo bebê
👼🏾,baby angel medium-dark skin tone,Baby Angel Medium Dark Skin Tono,Baby Angel Medi-Dark Skin Tom
👼🏼,baby angel medium-light skin tone,Baby Angel Tono de piel de luz media,Tom de pele com luz média anjo bebê
👼🏽,baby angel medium skin tone,Baby Angel Tono de piel mediana,Tom de pele média anjo bebê
🍼,baby bottle,biberón,garrafa de bebê
🐤,baby chick,pollito,garota bebê
👶🏿,baby dark skin tone,tono de piel oscura bebé,Baby Dark Skin Tom
👶🏻,baby light skin tone,tono de piel de luz de bebé,tom de pele leve para bebê
👶🏾,baby medium-dark skin tone,tono de piel de la oscuridad media bebé,tom de pele de médio escuro bebê
👶🏼,baby medium-light skin tone,tono de piel de luz media bebé,Tom de pele com luz média bebê
👶🏽,baby medium skin tone,tono de piel mediana bebé,Tom de pele média bebê
🚼,baby symbol,símbolo de bebé,Símbolo de bebê
👇,backhand index pointing down,índice de revés apuntando hacia abajo,Índice de backhand apontando para baixo
👇🏿,backhand index pointing down dark skin tone,índice de revés apuntando por tono de piel oscura,Índice de backhand apontando para baixo do tom escuro
👇🏻,backhand index pointing down light skin tone,índice de revés apuntando hacia abajo tono de piel clara,Índice de backhand apontando para baixo do tom de pele leve
👇🏾,backhand index pointing down medium-dark skin tone,Índice de revés apuntando con tono de piel medio-oscuridad,Índice de backhand apontando para baixo tom de pele de médio escuro
👇🏼,backhand index pointing down medium-light skin tone,índice de revés apuntando con tono de piel de luz media,Índice de backhand apontando para baixo tom de pele de luz média
👇🏽,backhand index pointing down medium skin tone,índice de revés apuntando hacia abajo tono de piel mediana,Índice de backhand apontando para baixo do tom de pele média
👈,backhand index pointing left,índice de revés apuntando a la izquierda,Índice de backhand apontando para a esquerda
👈🏿,backhand index pointing left dark skin tone,Índice de revés apuntando tono de piel oscura izquierda,Índice de backhand apontando tom de pele escura esquerda
👈🏻,backhand index pointing left light skin tone,índice de revés apuntando tono de piel de luz izquierda,Índice de backhand apontando tom de pele claro esquerdo
👈🏾,backhand index pointing left medium-dark skin tone,Índice de revés apuntando tono de piel de oscuridad media izquierda,Índice de backhand apontando para o tom de pele de médio escuro esquerdo
👈🏼,backhand index pointing left medium-light skin tone,índice de revés apuntando tono de piel de luz media izquierda,Índice de backhand apontando tom de pele esquerda para luz média
👈🏽,backhand index pointing left medium skin tone,índice de revés apuntando tono de piel mediana izquierda,Índice de backhand apontando para o tom de pele média esquerda
👉,backhand index pointing right,índice de revés apuntando a la derecha,Índice de backhand apontando direito
👉🏿,backhand index pointing right dark skin tone,índice de revés apuntando a la derecha tono de piel oscura,Índice de backhand apontando tom de pele escura direita
👉🏻,backhand index pointing right light skin tone,Índice de revés apuntando a la luz derecha de la piel clara,Índice de backhand apontando tom de pele clara certa
👉🏾,backhand index pointing right medium-dark skin tone,Índice de revés apuntando a la derecha tono de piel medio-oscuridad,Índice de backhand apontando o tom de pele média-escuro à direita
👉🏼,backhand index pointing right medium-light skin tone,índice de revés apuntando a la derecha tono de piel de luz media,Índice de backhand apontando tom de pele de luz média direita
👉🏽,backhand index pointing right medium skin tone,índice de revés apuntando a la derecha tono de piel media,Índice de backhand apontando tom de pele média direita
👆,backhand index pointing up,índice de revés apuntando hacia arriba,Índice de backhand apontando para cima
👆🏿,backhand index pointing up dark skin tone,índice de revés apuntando al tono de piel oscura,Índice de backhand apontando para cima do tom escuro
👆🏻,backhand index pointing up light skin tone,Índice de revés apuntando al tono de piel clara,Índice de backhand apontando para cima do tom da pele clara
👆🏾,backhand index pointing up medium-dark skin tone,Índice de revés apuntando al tono de piel medio-oscuridad,Índice de backhand apontando para cima do tom de pele média-escuro
👆🏼,backhand index pointing up medium-light skin tone,índice de revés apuntando al tono de piel de luz media,Índice de backhand apontando para cima do tom da pele de luz média
👆🏽,backhand index pointing up medium skin tone,índice de revés apuntando al tono de piel mediana,Índice de backhand apontando para cima do tom de pele média
🎒,backpack,mochila,mochila
🥓,bacon,tocino,bacon
🦡,badger,tejón,texugo
🏸,badminton,bádminton,badminton
🥯,bagel,rosquilla,bagel
🛄,baggage claim,reclamación de equipaje,reivindicação de bagagem
